Sample,X(ms) [06.04.0057 14:41:38 778 UTC],CurrentSetpoint(l),ScaledInput(l),Output(%)
0,1.77549E+12,50,0,0
1,1.77549E+12,50,0,0
2,1.77549E+12,50,0,0
3,1.77549E+12,50,0,0
4,1.77549E+12,50,0,0
5,1.77549E+12,50,0,0
6,1.77549E+12,50,0,0
7,1.77549E+12,50,0,0
8,1.77549E+12,50,0,0
9,1.77549E+12,50,0,0
10,1.77549E+12,50,0,0
11,1.77549E+12,50,0,0
12,1.77549E+12,50,0,0
13,1.77549E+12,50,0,0
14,1.77549E+12,50,0,0
15,1.77549E+12,50,0,0
16,1.77549E+12,50,0,0
17,1.77549E+12,50,0,0
18,1.77549E+12,50,0,0
19,1.77549E+12,50,0,0
20,1.77549E+12,50,0,0
21,1.77549E+12,50,0,0
22,1.77549E+12,50,0,0
23,1.77549E+12,50,0,0
24,1.77549E+12,50,0,0
25,1.77549E+12,50,0,0
26,1.77549E+12,50,0,20
27,1.77549E+12,50,0,20
28,1.77549E+12,50,0,20
29,1.77549E+12,50,1.215278029,20
30,1.77549E+12,50,1.844617963,20
31,1.77549E+12,50,2.539062977,20
32,1.77549E+12,50,3.667535067,20
33,1.77549E+12,50,4.101562977,20
34,1.77549E+12,50,5.013020992,20
35,1.77549E+12,50,5.55555582,20
36,1.77549E+12,50,6.25,20
37,1.77549E+12,50,7.23741293,20
38,1.77549E+12,50,7.931858063,20
39,1.77549E+12,50,8.637152672,20
40,1.77549E+12,50,9.288194656,20
41,1.77549E+12,50,10.18879986,20
42,1.77549E+12,50,10.81814003,20
43,1.77549E+12,50,11.69705009,20
44,1.77549E+12,50,12.36979008,20
45,1.77549E+12,50,13.09679031,20
46,1.77549E+12,50,13.83463001,20
47,1.77549E+12,50,14.71354008,20
48,1.77549E+12,50,15.40799046,20
49,1.77549E+12,50,16.03733063,20
50,1.77549E+12,50,17.06814003,20
51,1.77549E+12,50,17.7408905,20
52,1.77549E+12,50,18.42448044,20
53,1.77549E+12,50,19.30337906,20
54,1.77549E+12,50,19.94358063,20
55,1.77549E+12,50,20.72481918,20
56,1.77549E+12,50,21.59288025,20
57,1.77549E+12,50,22.24391937,20
58,1.77549E+12,50,22.96006966,20
59,1.77549E+12,50,23.84983063,20
60,1.77549E+12,50,24.45746994,20
61,1.77549E+12,50,25.35807037,20
62,1.77549E+12,50,26.03082085,20
63,1.77549E+12,50,26.90971947,20
64,1.77549E+12,50,27.5824604,20
65,1.77549E+12,50,28.27691078,20
66,1.77549E+12,50,29.14496994,20
67,1.77549E+12,50,29.78516006,20
68,1.77549E+12,50,30.52300072,20
69,1.77549E+12,50,31.40191078,20
70,1.77549E+12,50,32.042099,20
71,1.77549E+12,50,32.74739075,20
72,1.77549E+12,50,33.59375,20
73,1.77549E+12,50,34.364151,20
74,1.77549E+12,50,35.19964981,20
75,1.77549E+12,50,35.87239075,20
76,1.77549E+12,50,36.62108994,20
77,1.77549E+12,50,37.35894012,20
78,1.77549E+12,50,38.28125,20
79,1.77549E+12,50,38.94313812,20
80,1.77549E+12,50,39.63758087,20
81,1.77549E+12,50,40.29948044,20
82,1.77549E+12,50,41.25434113,20
83,1.77549E+12,50,41.89453125,20
84,1.77549E+12,50,42.7517395,20
85,1.77549E+12,50,43.40277863,20
86,1.77549E+12,50,44.07551956,20
87,1.77549E+12,50,44.95442963,20
88,1.77549E+12,50,45.67057037,20
89,1.77549E+12,50,46.36502075,20
90,1.77549E+12,50,47.309021,20
91,1.77549E+12,50,47.92752075,20
92,1.77549E+12,50,48.76301956,20
93,1.77549E+12,50,49.4466095,20
94,1.77549E+12,50,50.28211975,20
95,1.77549E+12,50,51.01996994,20
96,1.77549E+12,50,51.63845062,20
97,1.77549E+12,50,52.53905869,20
98,1.77549E+12,50,53.29861069,20
99,1.77549E+12,50,54.03646088,20
100,1.77549E+12,50,54.676651,20
101,1.77549E+12,50,55.55554962,20
102,1.77549E+12,50,56.19575119,20
103,1.77549E+12,50,57.05295181,20
104,1.77549E+12,50,57.74739838,20
105,1.77549E+12,50,58.44184113,0
106,1.77549E+12,50,59.30989075,0
107,1.77549E+12,50,59.95008087,0
108,1.77549E+12,50,60.65538025,0
109,1.77549E+12,50,59.70051956,0
110,1.77549E+12,50,60.31901169,0
111,1.77549E+12,50,59.99348831,0
112,1.77549E+12,50,60.15625,0
113,1.77549E+12,50,60.32986069,0
114,1.77549E+12,50,60.12369919,0
115,1.77549E+12,50,60.24304962,0
116,1.77549E+12,50,60.19964981,0
117,1.77549E+12,50,60.22135925,0
118,1.77549E+12,50,60.22135925,0
119,1.77549E+12,50,60.18880081,0
120,1.77549E+12,50,60.19964981,0
121,1.77549E+12,50,60.18880081,0
122,1.77549E+12,50,60.19964981,0
123,1.77549E+12,50,60.19964981,0
124,1.77549E+12,50,60.19964981,0
125,1.77549E+12,50,60.19964981,0
126,1.77549E+12,50,60.19964981,0
127,1.77549E+12,50,60.19964981,0
128,1.77549E+12,50,60.19964981,0
129,1.77549E+12,50,60.19964981,0
130,1.77549E+12,50,60.19964981,0
131,1.77549E+12,50,60.19964981,0
132,1.77549E+12,50,60.19964981,0
133,1.77549E+12,50,60.19964981,0
134,1.77549E+12,50,60.19964981,0
135,1.77549E+12,50,60.19964981,0
136,1.77549E+12,50,60.19964981,50
137,1.77549E+12,50,60.19964981,50
138,1.77549E+12,50,60.19964981,50
139,1.77549E+12,50,63.08594131,50
140,1.77549E+12,50,64.20355988,50
141,1.77549E+12,50,65.54904175,50
142,1.77549E+12,50,68.10980988,50
143,1.77549E+12,50,69.30338287,50
144,1.77549E+12,50,71.6796875,50
145,1.77549E+12,50,73.31815338,50
146,1.77549E+12,50,74.95659637,50
147,1.77549E+12,50,77.34375,50
148,1.77549E+12,50,79.29688263,50
149,1.77549E+12,50,81.22828674,50
150,1.77549E+12,50,82.801651,50
151,1.77549E+12,50,85.05859375,50
152,1.77549E+12,50,86.76215363,50
153,1.77549E+12,50,88.4765625,50
154,1.77549E+12,50,90.64671326,50
155,1.77549E+12,50,92.3719635,50
156,1.77549E+12,50,94.498703,50
157,1.77549E+12,50,96.34332275,50
158,1.77549E+12,50,98.00347137,50
159,1.77549E+12,50,99.69618225,50
160,1.77549E+12,50,102.0399017,50
161,1.77549E+12,50,103.5807037,50
162,1.77549E+12,50,105.8267975,50
163,1.77549E+12,50,107.4327011,50
164,1.77549E+12,50,109.2121964,50
165,1.77549E+12,50,111.4257965,0
166,1.77549E+12,50,113.129303,0
167,1.77549E+12,50,114.8438034,0
168,1.77549E+12,50,114.4964981,0
169,1.77549E+12,50,114.0516968,0
170,1.77549E+12,50,114.1276016,0
171,1.77549E+12,50,114.2144012,0
172,1.77549E+12,50,114.2686996,0
173,1.77549E+12,50,113.9540024,0
174,1.77549E+12,50,114.084198,0
175,1.77549E+12,50,114.0951004,0
176,1.77549E+12,50,114.040802,0
177,1.77549E+12,50,114.1384964,0
178,1.77549E+12,50,114.084198,0
179,1.77549E+12,50,114.1059036,0
180,1.77549E+12,50,114.0951004,0
181,1.77549E+12,50,114.084198,0
182,1.77549E+12,50,114.084198,0
183,1.77549E+12,50,114.0733032,0
184,1.77549E+12,50,114.084198,0
185,1.77549E+12,50,114.084198,0
186,1.77549E+12,50,114.084198,0
187,1.77549E+12,50,114.084198,0
188,1.77549E+12,50,114.084198,0
189,1.77549E+12,50,114.084198,0
190,1.77549E+12,50,114.084198,0
